,High_Yield_Credit_Spread
2005-01-03,3.746495670364972
2005-01-04,3.7430496866755782
2005-01-05,3.400524301003062
2005-01-06,4.892387519592548
2005-01-07,4.006725182309647
2005-01-10,3.887573472102574
2005-01-11,3.5356039592737707
2005-01-12,5.467828951163889
2005-01-13,3.4633359838885522
2005-01-14,3.785576037196963
2005-01-17,4.207918418143031
2005-01-18,4.300106482872139
2005-01-19,4.478966027607842
2005-01-20,4.903804253884632
2005-01-21,4.253078827730356
2005-01-24,3.471984600016666
2005-01-25,3.8715274374391093
2005-01-26,4.153916186256943
2005-01-27,5.034113020752912
2005-01-28,3.3010972607878513
2005-01-31,4.601288252612614
2005-02-01,4.089957184773208
2005-02-02,4.41891526761474
2005-02-03,3.949002641682034
2005-02-04,3.5787836849368366
2005-02-07,4.375436389700666
2005-02-08,4.327215513552811
2005-02-09,4.486028482869861
2005-02-10,3.993347682310682
2005-02-11,3.700088988340075
2005-02-14,3.2206065024880792
2005-02-15,4.409686634069703
2005-02-16,4.211944741221993
2005-02-17,3.5171086835680203
2005-02-18,3.730713163351688
2005-02-21,3.7666205940242796
2005-02-22,3.258507784008791
2005-02-23,3.591158801697433
2005-02-24,3.433084821596823
2005-02-25,3.7937604940560314
2005-02-28,3.6306512508352187
2005-03-01,3.1864975395666257
2005-03-02,5.0112951152847405
2005-03-03,4.626270365514616
2005-03-04,3.610490289240007
2005-03-07,4.1362106983268045
2005-03-08,4.208732544910648
2005-03-09,4.595542927386738
2005-03-10,3.590697486669961
2005-03-11,4.546053391991213
2005-03-14,3.7260473478965324
2005-03-15,3.332068797915693
2005-03-16,4.362068279657248
2005-03-17,4.645379212061214
2005-03-18,5.293954486765342
2005-03-21,3.400137367454893
2005-03-22,4.349459842540394
2005-03-23,3.7950993781032336
2005-03-24,4.391679355262015
2005-03-25,3.2647552243843747
2005-03-28,3.368615112150718
2005-03-29,3.612062588416758
2005-03-30,4.039482022834043
2005-03-31,3.679459366730822
2005-04-01,4.32952717195671
2005-04-04,4.513447309128957
2005-04-05,4.299788770622678
2005-04-06,4.809393819830434
2005-04-07,4.207913314727671
2005-04-08,3.3915516448299163
2005-04-11,4.68168825676917
2005-04-12,3.697421882197001
2005-04-13,4.455209249842785
2005-04-14,4.786867108277553
2005-04-15,4.2283440053652
2005-04-18,3.251920593417675
2005-04-19,3.5408939167451043
2005-04-20,4.661372233442568
2005-04-21,3.915438657178592
2005-04-22,4.039786767471083
2005-04-25,4.3794122080818045
2005-04-26,4.348161431040162
2005-04-27,4.139399906192731
2005-04-28,3.895665814389767
2005-04-29,3.8436657771338214
2005-05-02,4.428949412645672
2005-05-03,4.276784765533897
2005-05-04,3.8713499996911054
2005-05-05,4.541056156496571
2005-05-06,3.935482942435108
2005-05-09,3.5741689128328034
2005-05-10,3.6205146505483277
2005-05-11,3.5106295818451168
2005-05-12,3.8637949916981564
2005-05-13,4.616862139168097
2005-05-16,3.5974524094847458
2005-05-17,4.094237880509051
2005-05-18,3.6716553271862935
2005-05-19,3.8698454793642814
2005-05-20,3.244979394007374
2005-05-23,3.889730885421731
2005-05-24,3.903147310097519
