,SKEW_Index
2005-01-03,123.98155041426767
2005-01-04,118.68751569769623
2005-01-05,115.94497380268056
2005-01-06,123.72157321181345
2005-01-07,123.19461511187276
2005-01-10,121.08710321218147
2005-01-11,128.72155626211637
2005-01-12,119.86787239316469
2005-01-13,118.71555008037555
2005-01-14,118.000913344627
2005-01-17,112.19561146759597
2005-01-18,123.30669982071146
2005-01-19,119.47257316421111
2005-01-20,122.54965620678398
2005-01-21,129.2093900104562
2005-01-24,118.04624115047692
2005-01-25,108.30995641604224
2005-01-26,122.40535184755386
2005-01-27,120.83429694946338
2005-01-28,116.3377306201434
2005-01-31,121.98633167810749
2005-02-01,123.93048160052187
2005-02-02,115.26695044894227
2005-02-03,118.49334069298308
2005-02-04,127.38376864924464
2005-02-07,116.39188904385317
2005-02-08,120.33334877706892
2005-02-09,106.87794416978058
2005-02-10,112.59077249459352
2005-02-11,120.787587486664
2005-02-14,126.13993904792801
2005-02-15,113.189851589995
2005-02-16,120.37282031030249
2005-02-17,118.12141045473142
2005-02-18,124.76544027496247
2005-02-21,113.91098347338708
2005-02-22,122.15038824183743
2005-02-23,116.73154656501872
2005-02-24,121.11519012413237
2005-02-25,120.34465526154236
2005-02-28,118.74110462928691
2005-03-01,122.38905923134692
2005-03-02,120.2182636715148
2005-03-03,119.33596848961652
2005-03-04,118.21791732988629
2005-03-07,120.38799194872668
2005-03-08,121.11021774073036
2005-03-09,115.0542895995969
2005-03-10,118.25264381041312
2005-03-11,114.72407027684413
2005-03-14,119.80077288609607
2005-03-15,117.03833897572986
2005-03-16,123.85391573990628
2005-03-17,123.36363488878345
2005-03-18,115.38625718217816
2005-03-21,119.98846327300762
2005-03-22,123.19258289624182
2005-03-23,119.12345839917985
2005-03-24,116.35891237597228
2005-03-25,114.53798235977602
2005-03-28,124.27133780789181
2005-03-29,124.51356574142486
2005-03-30,118.96026200562976
2005-03-31,123.83068792263339
2005-04-01,105.1739473505733
2005-04-04,126.63777325354619
2005-04-05,119.21527597361411
2005-04-06,120.70888280399744
2005-04-07,118.39741138167015
2005-04-08,126.97853740933753
2005-04-11,114.69634188022233
2005-04-12,127.37230163303418
2005-04-13,121.98135460472555
2005-04-14,123.11332107959079
2005-04-15,118.35397718335543
2005-04-18,113.45890401051815
2005-04-19,124.6525538276805
2005-04-20,121.55704175594666
2005-04-21,126.8081172915441
2005-04-22,119.0311183989215
2005-04-25,117.90384310550543
2005-04-26,126.94044118320151
2005-04-27,129.5594708224872
2005-04-28,120.04673588182865
2005-04-29,116.23621251571447
2005-05-02,124.05265381394774
2005-05-03,118.72989716914662
2005-05-04,122.996314127004
2005-05-05,118.70362012810624
2005-05-06,127.82007009105907
2005-05-09,116.50255247474651
2005-05-10,122.4026483126098
2005-05-11,117.55649014883939
2005-05-12,118.59246719289615
2005-05-13,117.93972172619712
2005-05-16,123.69304033046707
2005-05-17,124.59181557466935
2005-05-18,122.78869414466186
2005-05-19,119.46008266627365
2005-05-20,120.70090015500796
2005-05-23,124.48860784229713
2005-05-24,124.64655793603802
2005-05-25,106.54862184323233
2005-05-26,118.63888914113652
2005-05-27,118.87870604280258
2005-05-30,123.34626282063081
2005-05-31,119.66614591144626
2005-06-01,123.59591690474643
2005-06-02,114.60669614484723
2005-06-03,121.3002725773039
2005-06-06,124.50102826725247
2005-06-07,112.62808565340926
2005-06-08,132.56821734104452
2005-06-09,125.9544296643326
2005-06-10,120.00676651232821
2005-06-13,115.85795946380615
2005-06-14,119.12457424863148
2005-06-15,120.4190117980567
2005-06-16,122.20331278406024
2005-06-17,127.50330424730015
2005-06-20,117.61950765278577
2005-06-21,122.8135491878628
2005-06-22,113.53785418699944
2005-06-23,117.93199642837367
2005-06-24,121.88358423934679
2005-06-27,123.45631245504403
2005-06-28,116.23383761667691
2005-06-29,117.79604151994043
2005-06-30,127.30278317791773
2005-07-01,125.80954309814022
2005-07-04,121.04228608526184
2005-07-05,108.81677423389642
2005-07-06,132.55566273845005
2005-07-07,119.90034219171378
2005-07-08,118.43716470989337
2005-07-11,117.38820037072942
2005-07-12,121.88183518599554
2005-07-13,121.93291294585465
2005-07-14,124.75313936563256
2005-07-15,115.36968917825493
2005-07-18,118.4375256092937
2005-07-19,130.152728616121
2005-07-20,121.12295316624996
2005-07-21,119.13737813336627
2005-07-22,115.29191117208148
2005-07-25,122.52967152910375
2005-07-26,125.15509108521222
2005-07-27,124.37293822904904
2005-07-28,118.70599568195541
2005-07-29,121.80626141681768
2005-08-01,128.35829718324305
2005-08-02,125.35441146085735
2005-08-03,116.0791862890334
2005-08-04,107.26997467689264
2005-08-05,121.48386253542118
2005-08-08,123.99284063374216
2005-08-09,114.55387754063369
2005-08-10,119.95605238938612
2005-08-11,118.68150467063461
2005-08-12,120.52143161116099
2005-08-15,117.27651856440144
2005-08-16,126.45255498813997
2005-08-17,120.73984440316381
2005-08-18,115.60491556917626
2005-08-19,124.5873107679686
2005-08-22,113.67906202004147
2005-08-23,126.42247188767567
2005-08-24,124.95529712111282
2005-08-25,126.94887647660393
2005-08-26,119.20876813779192
2005-08-29,117.51943010108312
2005-08-30,120.42010880466546
2005-08-31,119.57781606822235
2005-09-01,116.73631857218244
2005-09-02,117.23188342937179
2005-09-05,118.16813576366768
2005-09-06,114.1499815678007
2005-09-07,123.38981644799667
2005-09-08,119.73851431214497
2005-09-09,118.45810765383176
2005-09-12,114.44822919529162
2005-09-13,114.19813511166268
2005-09-14,129.67957025361207
2005-09-15,116.86371268569215
2005-09-16,123.05264197104663
2005-09-19,120.81317234950089
2005-09-20,106.12405769445948
2005-09-21,128.96225411569296
2005-09-22,123.42041989388058
2005-09-23,116.16164922847595
2005-09-26,119.85816747785202
2005-09-27,114.25408316298167
2005-09-28,129.13110239230568
2005-09-29,115.46171145879268
2005-09-30,117.3845800165267
2005-10-03,116.35219460926204
2005-10-04,120.40189700104585
2005-10-05,126.85158250069657
2005-10-06,128.9468722454758
2005-10-07,118.00501927888851
2005-10-10,121.89129491158961
2005-10-11,120.40952706302036
2005-10-12,115.09195367777971
2005-10-13,132.11277787297973
2005-10-14,126.81379781148128
2005-10-17,120.94557924855518
2005-10-18,127.90938046749494
2005-10-19,126.06053356358902
2005-10-20,120.40930670540878
2005-10-21,121.62981802663997
2005-10-24,127.56063071188328
2005-10-25,115.2692320943516
2005-10-26,128.3684534866067
2005-10-27,118.87443719657442
2005-10-28,127.62338371423783
2005-10-31,119.9738670126859
2005-11-01,121.68803111236485
2005-11-02,119.82845821713771
2005-11-03,117.34078188594387
2005-11-04,118.64972550927844
2005-11-07,126.89555701584284
2005-11-08,108.42918008663766
2005-11-09,113.80517027597581
2005-11-10,116.37264145320948
2005-11-11,114.60827603781989
2005-11-14,127.54989805207745
2005-11-15,126.28838488926603
2005-11-16,122.96015904697308
2005-11-17,116.81097966261233
2005-11-18,126.67525933397069
2005-11-21,112.05935037002229
2005-11-22,130.7099132007397
2005-11-23,116.57685101411225
2005-11-24,118.68982389079281
2005-11-25,117.85328074752643
2005-11-28,114.63446292950661
2005-11-29,129.6255656196846
2005-11-30,123.94447315392243
2005-12-01,126.07735271039894
2005-12-02,113.88165363969614
2005-12-05,120.90468913501999
2005-12-06,122.60514344665702
2005-12-07,121.35378261774922
2005-12-08,114.19813274466
2005-12-09,125.37750010565318
2005-12-12,120.60775041392577
2005-12-13,115.22517982178499
2005-12-14,110.72374730223669
2005-12-15,123.0333325674494
2005-12-16,132.25227867065752
2005-12-19,114.9237286332686
2005-12-20,120.85223525206483
2005-12-21,125.55248639545789
2005-12-22,113.6517386694935
2005-12-23,117.60021615457488
2005-12-26,115.69920610369299
2005-12-27,124.92338347412273
2005-12-28,126.62761284677029
2005-12-29,120.79518132365868
2005-12-30,115.7913296550295
2006-01-02,117.78604531036076
2006-01-03,116.84750742876624
2006-01-04,115.11365569188497
2006-01-05,119.48980899590768
2006-01-06,122.87413242230932
2006-01-09,122.4512872221426
2006-01-10,119.95883817715244
2006-01-11,120.28526918412682
2006-01-12,119.5922460245511
2006-01-13,113.51394230416864
2006-01-16,120.80067448491437
2006-01-17,117.08187207272675
2006-01-18,113.26328390420281
2006-01-19,121.85352783557792
2006-01-20,116.94134981790728
2006-01-23,121.13876960629418
2006-01-24,124.23818907534714
2006-01-25,115.24880639427384
2006-01-26,120.46060641036486
2006-01-27,110.9478855913482
2006-01-30,127.66266545304639
2006-01-31,113.2046675155561
2006-02-01,117.42590168801313
2006-02-02,126.69189951881978
2006-02-03,118.82738536959508
2006-02-06,114.0130115684985
2006-02-07,123.56536616143268
2006-02-08,123.45266231075593
2006-02-09,116.83406830317384
2006-02-10,117.375367396098
2006-02-13,117.82295514690956
2006-02-14,118.96488019656984
2006-02-15,110.53514461539096
2006-02-16,119.0928806944095
2006-02-17,128.91957099091573
2006-02-20,115.52015016381648
2006-02-21,117.08253203265119
2006-02-22,114.08191168401802
2006-02-23,123.06080963197677
2006-02-24,126.01598679071188
2006-02-27,125.90158919588812
2006-02-28,113.7599470555317
2006-03-01,122.4989586524848
2006-03-02,127.16875017107118
2006-03-03,122.54831553855061
2006-03-06,122.39204841671888
2006-03-07,117.64178710682421
2006-03-08,121.10054911896832
2006-03-09,126.18159089853202
2006-03-10,121.64104484214381
2006-03-13,113.75862621985137
2006-03-14,117.71979162857015
2006-03-15,126.04639769444496
2006-03-16,121.62371660175548
2006-03-17,120.59531039121538
2006-03-20,117.2299223337665
2006-03-21,125.94299590267218
2006-03-22,128.3120629891113
2006-03-23,126.31594561509016
2006-03-24,127.21295810722687
2006-03-27,118.20646879616916
2006-03-28,117.49915451313048
2006-03-29,119.21827413250406
2006-03-30,120.19286620988127
2006-03-31,127.15509890062629
2006-04-03,125.82943369734208
2006-04-04,122.69234693627247
2006-04-05,112.84406617076556
2006-04-06,111.55989077701562
2006-04-07,121.20231372400852
2006-04-10,124.40131602800358
2006-04-11,119.60216475506931
2006-04-12,129.57452252489202
2006-04-13,114.58779478109783
2006-04-14,113.958240252522
2006-04-17,116.6785951276284
2006-04-18,116.48851393404382
2006-04-19,122.63142934340989
2006-04-20,117.89144074078249
2006-04-21,112.26079769360669
2006-04-24,124.45789228347559
2006-04-25,111.20024036963935
2006-04-26,114.64390888494646
2006-04-27,111.88646714628065
2006-04-28,121.03560638535437
2006-05-01,120.93023856075607
2006-05-02,129.58227160508176
2006-05-03,124.56913328072775
2006-05-04,127.208230916711
2006-05-05,121.44304825649246
2006-05-08,115.11534089454719
2006-05-09,120.64053800996749
2006-05-10,122.96210503693653
2006-05-11,123.51903691125787
2006-05-12,117.6379392794583
2006-05-15,122.443932368912
2006-05-16,115.33486014579368
2006-05-17,114.78361202944642
2006-05-18,114.42107644307258
2006-05-19,120.12312994278399
2006-05-22,114.11081822461848
2006-05-23,117.87627805064496
2006-05-24,124.51458275706979
2006-05-25,114.85435160960847
2006-05-26,117.47843983247841
2006-05-29,120.35815638388085
2006-05-30,121.23443450766133
2006-05-31,117.5035470459722
2006-06-01,123.93430034367579
2006-06-02,122.95226150392362
2006-06-05,125.69928302180851
2006-06-06,119.5919903782647
2006-06-07,117.43590595271829
2006-06-08,116.58683988993938
2006-06-09,121.53513758964681
2006-06-12,118.11422108594364
2006-06-13,117.15415111159605
2006-06-14,117.75856367877338
2006-06-15,116.58154757437875
2006-06-16,120.99510556381367
